System,SysCenterName,TARGETID_A,CoordUqName_A,RA_A,DEC_A,RA_A_sexa,DEC_A_sexa,Z_A,ZERR_A,ZWARN_A,mag_g_A,mag_r_A,mag_z_A,mag_W1_A,mag_W2_A,flux_g_A,flux_r_A,flux_z_A,flux_W1_A,flux_W2_A,flux_ivar_g_A,flux_ivar_r_A,flux_ivar_z_A,flux_ivar_W1_A,flux_ivar_W2_A,MORPHTYPE_A,SPECTYPE_A,LASTNIGHT_A,TARGETID_B,CoordUqName_B,RA_B,DEC_B,RA_B_sexa,DEC_B_sexa,Z_B,ZERR_B,ZWARN_B,mag_g_B,mag_r_B,mag_z_B,mag_W1_B,mag_W2_B,flux_g_B,flux_r_B,flux_z_B,flux_W1_B,flux_W2_B,flux_ivar_g_B,flux_ivar_r_B,flux_ivar_z_B,flux_ivar_W1_B,flux_ivar_W2_B,MORPHTYPE_B,SPECTYPE_B,LASTNIGHT_B,sep_AB,110kpc_seplim_zA,110kpc_seplim_zB,delta_vr,rp_zA,rp_zB,match_type,match_cite,visual_class
J0225+2337,J022539.084+233701.257,39628338112761430,J022539+233706,36.41307,23.61833,02 25 39.136,+23 37 05.971,2.19812,0.00031,0,22.459,21.907,20.752,19.494,19.381,1.039,1.727,5.004,15.943,17.683,2504.693,638.004,128.147,2.724,0.628,PSF,GALAXY,20211103,39628338112761419,J022539+233657,36.41264,23.61571,02 25 39.033,+23 36 56.544,2.21195,0.00023,0,20.33,19.956,19.629,19.469,19.29,7.381,10.417,14.075,16.312,19.228,1115.119,359.663,89.787,2.701,0.615,PSF,QSO,20211107,9.532,13.306,13.319,1293.708,78.802,78.724,New Discovery,,QP
J0226+2103,J022618.703+210327.529,39628282089443450,J022619+210327,36.57723,21.05754,02 26 18.535,+21 03 27.151,2.05492,0.0008,0,21.903,21.648,21.236,20.237,19.237,1.733,2.193,3.205,8.038,20.185,2781.086,618.654,128.912,2.781,0.562,PSF,QSO,20211102,39628282089443487,J022619+210328,36.57863,21.05775,02 26 18.872,+21 03 27.907,2.05997,0.00044,0,21.837,21.883,21.513,20.859,20.506,1.841,1.766,2.481,4.534,6.272,2547.446,642.005,129.848,2.86,0.599,PSF,QSO,20211107,4.781,13.182,13.186,494.328,39.892,39.88,New Discovery,,QP
J0227-0511,J022718.806-051105.161,39627658614546046,J022719-051103,36.82728,-5.18414,02 27 18.546,-05 11 02.891,1.53964,0.00129,0,23.061,22.608,22.329,20.569,20.056,0.596,0.905,1.17,5.919,9.493,2813.928,1807.516,262.811,3.325,0.716,PSF,QSO,20211201,39627658614546138,J022719-051107,36.82944,-5.1854,02 27 19.066,-05 11 07.431,1.54486,0.00103,0,22.238,22.024,21.892,19.843,19.464,1.273,1.55,1.751,11.555,16.381,2806.039,1692.888,259.347,2.974,0.68,PSF,QSO,20220130,8.994,12.989,12.988,615.313,76.167,76.172,New Discovery,,QP
J0230-0704,J023004.576-070446.255,39627616566641031,J023005-070447,37.51903,-7.07959,02 30 04.568,-07 04 46.513,2.00706,0.00025,0,19.083,18.774,18.487,17.959,17.493,23.274,30.93,40.303,65.536,100.603,401.151,408.756,122.855,1.089,0.239,PSF,QSO,20210105,39627616566641034,J023005-070446,37.5191,-7.07944,02 30 04.585,-07 04 45.996,2.00742,0.00017,0,17.975,17.697,17.447,16.792,15.961,64.567,83.416,105.048,191.931,412.77,323.83,315.098,102.416,1.08,0.237,PSF,QSO,20211028,0.572,13.146,13.146,35.228,4.789,4.788,Lensed Quasar Candidate,SLED,Contaminant
J0230+0955,J023056.017+095550.803,39628025943298341,J023056+095551,37.73336,9.93091,02 30 56.006,+09 55 51.266,1.61585,0.00024,0,20.79,20.468,20.312,18.945,18.053,4.828,6.5,7.5,26.422,60.084,1645.772,575.569,137.532,2.43,0.5,PSF,QSO,20211030,39628025943298342,J023056+095550,37.73345,9.93065,02 30 56.028,+09 55 50.340,1.61649,0.00061,0,23.036,24.791,24.01,,,0.611,0.121,0.249,-5.541,-22.976,1230.839,430.416,82.672,2.351,0.484,EXP,QSO,20211129,0.982,12.983,12.983,73.298,8.32,8.32,New Discovery,,Contaminant
J0231+2636,J023129.500+263619.231,39628403980112584,J023130+263620,37.87293,26.60548,02 31 29.502,+26 36 19.723,0.5076,2e-05,0,18.986,18.966,18.458,17.024,16.721,25.45,25.917,41.38,154.995,204.966,553.626,272.042,81.751,1.398,0.377,PSF,QSO,20211102,39628403980112583,J023129+263619,37.87291,26.60521,02 31 29.499,+26 36 18.740,0.50765,2e-05,0,21.222,21.928,21.286,20.794,21.052,3.244,1.693,3.058,4.811,3.793,760.426,316.937,65.115,1.412,0.377,DEV,QSO,20211208,0.984,17.877,17.876,10.774,6.057,6.058,Binary SMBH Candidate,BigMAC,Contaminant
J0232-0400,J023207.517-040055.691,39627688759007471,J023208-040056,38.03131,-4.01545,02 32 07.515,-04 00 55.605,0.1812,1e-05,0,17.848,17.632,17.445,15.904,15.566,72.566,88.571,105.19,434.975,593.591,246.276,241.552,78.664,0.691,0.205,PSF,QSO,20211001,39627688759007472,J023208-040056,38.03133,-4.01549,02 32 07.519,-04 00 55.777,0.18123,1e-05,0,19.659,19.019,18.261,18.211,18.585,13.688,24.672,49.61,51.948,36.806,123.169,87.793,9.853,0.586,0.172,SER,QSO,20211024,0.188,36.051,36.046,7.59,0.573,0.573,New Discovery,,Contaminant
J0232+2653,J023212.139+265326.487,39628414801416671,J023212+265327,38.05054,26.89081,02 32 12.130,+26 53 26.921,1.45755,0.00053,0,20.916,20.564,20.435,19.216,19.191,4.302,5.95,6.697,20.579,21.072,1211.42,408.33,77.044,2.665,0.585,PSF,QSO,20211102,39628414801416674,J023212+265326,38.05062,26.89057,02 32 12.148,+26 53 26.053,1.45698,0.00082,0,23.192,24.141,23.032,20.538,19.369,0.529,0.221,0.613,6.092,17.886,1040.152,336.308,53.195,2.594,0.568,EXP,QSO,20211130,0.9,13.014,13.014,69.47,7.609,7.609,New Discovery,,Contaminant
J0233+2348,J023330.360+234835.461,39628343686991409,J023330+234836,38.37647,23.80997,02 33 30.353,+23 48 35.906,1.20089,0.00023,0,20.348,19.974,19.751,18.616,17.842,7.258,10.24,12.578,35.788,72.954,1351.785,469.256,100.477,2.342,0.486,PSF,QSO,20211202,39628343686991411,J023330+234835,38.37653,23.80973,02 33 30.367,+23 48 35.017,1.20103,0.00039,0,22.983,24.359,23.672,19.831,19.394,0.641,0.18,0.34,11.682,17.478,1956.038,718.147,108.415,2.379,0.495,PSF,QSO,20211208,0.909,13.262,13.262,18.779,7.538,7.538,New Discovery,,Contaminant
J0236+2815,J023631.364+281559.163,39628441649152248,J023631+281554,39.13014,28.2649,02 36 31.234,+28 15 53.649,1.88965,0.0008,0,22.993,22.214,21.258,19.706,19.267,0.635,1.301,3.138,13.108,19.634,2777.422,617.7,110.875,2.956,0.654,PSF,GALAXY,20211113,39628441649152271,J023631+281605,39.13123,28.26797,02 36 31.495,+28 16 04.677,1.88376,0.00083,0,21.485,21.377,21.118,19.155,18.87,2.546,2.813,3.572,21.778,28.31,2181.068,446.979,110.104,2.714,0.614,PSF,QSO,20211130,11.553,13.07,13.067,610.953,97.237,97.261,New Discovery,,QP
J0238+0753,J023853.163+075334.393,39627978199534308,J023853+075335,39.72154,7.89293,02 38 53.169,+07 53 34.562,2.08062,0.00023,0,20.001,19.766,19.328,19.023,18.599,9.992,12.406,18.565,24.59,36.34,1377.243,519.8,157.549,2.596,0.556,PSF,QSO,20211108,39627978199534305,J023853+075334,39.72148,7.89284,02 38 53.156,+07 53 34.225,2.08167,0.00018,0,21.5,21.279,20.882,,,2.513,3.078,4.437,-4.976,-2.194,276.986,90.218,16.666,1.568,0.358,EXP,QSO,20211127,0.386,13.203,13.204,101.784,3.218,3.218,New Discovery,,Contaminant
