System,SysCenterName,TARGETID_A,CoordUqName_A,RA_A,DEC_A,RA_A_sexa,DEC_A_sexa,Z_A,ZERR_A,ZWARN_A,mag_g_A,mag_r_A,mag_z_A,mag_W1_A,mag_W2_A,flux_g_A,flux_r_A,flux_z_A,flux_W1_A,flux_W2_A,flux_ivar_g_A,flux_ivar_r_A,flux_ivar_z_A,flux_ivar_W1_A,flux_ivar_W2_A,MORPHTYPE_A,SPECTYPE_A,LASTNIGHT_A,TARGETID_B,CoordUqName_B,RA_B,DEC_B,RA_B_sexa,DEC_B_sexa,Z_B,ZERR_B,ZWARN_B,mag_g_B,mag_r_B,mag_z_B,mag_W1_B,mag_W2_B,flux_g_B,flux_r_B,flux_z_B,flux_W1_B,flux_W2_B,flux_ivar_g_B,flux_ivar_r_B,flux_ivar_z_B,flux_ivar_W1_B,flux_ivar_W2_B,MORPHTYPE_B,SPECTYPE_B,LASTNIGHT_B,sep_AB,110kpc_seplim_zA,110kpc_seplim_zB,delta_vr,rp_zA,rp_zB,match_type,match_cite,visual_class
J0833+0819,J083342.481+081921.073,39627985661202321,J083343+081922,128.4273696,8.322649319,08 33 42.569,+08 19 21.538,2.192263689,0.000754536,0,21.453451,21.041346,20.70526,19.928732,19.754848,2.621921,3.8323212,5.222711,10.678428,12.533171,2325.6187,690.2101,126.19601,2.780097,0.6092846,PSF,QSO,20220104,39627985661202308,J083342+081921,128.4266388,8.322391178,08 33 42.393,+08 19 20.608,2.192893579,0.000857886,0,22.387852,22.224396,22.1285,21.169233,20.2563,1.108816,1.2889677,1.407991,3.4064872,7.8973274,2825.309,737.3838,152.22617,2.913012,0.62156165,PSF,QSO,20220219,2.764084256,13.3003582,13.30094553,59.14852625,22.86023156,22.85922213,New Discovery,,QP
J0833+1133,J083350.037+113306.290,39628063092249204,J083350+113308,128.4594633,11.55224883,08 33 50.271,+11 33 08.096,0.79150082,0.000103517,0,21.14334,20.855536,20.444586,18.636604,18.453875,3.4887068,4.547637,6.6399612,35.104126,41.53844,1726.5591,501.3037,181.5983,2.4274604,0.5514666,PSF,QSO,20211204,39628063092249165,J083350+113304,128.4575153,11.55124554,08 33 49.804,+11 33 04.484,0.792234223,7.21e-05,0,23.76431,23.03367,21.906265,19.83084,19.829014,0.31208703,0.61169034,1.7278011,11.685961,11.705614,2518.9167,696.4852,194.70251,2.8481574,0.60881275,PSF,QSO,20220226,7.762310973,14.70419181,14.69948808,122.7036939,58.06876154,58.08734312,New Discovery,,QP
J0834-0323,J083410.474-032347.489,39627702340160269,J083411-032347,128.5437578,-3.39636846,08 34 10.502,-03 23 46.926,0.591463211,7.72e-05,0,19.217737,19.14717,19.204567,17.52848,17.109505,20.554403,21.934752,20.80527,97.41095,143.2841,362.2256,153.85373,87.62537,1.8518424,0.469557,PSF,QSO,20220126,39627702340160264,J083410-032348,128.5435256,-3.396681046,08 34 10.446,-03 23 48.052,0.591621372,0.000423219,0,22.88196,23.302614,22.241217,,22.530104,0.70342267,0.47747865,1.2691511,-0.63678426,0.97265476,353.71094,118.14158,32.278328,1.772527,0.4482318,EXP,QSO,20220228,1.400952563,16.56388873,16.56181071,29.79222014,9.303659582,9.304826919,New Discovery,,UT
J0834-0505,J083429.019-050508.118,39627666176868802,J083429-050505,128.6211552,-5.084697159,08 34 29.077,-05 05 04.910,1.44038005,0.000851929,0,23.154587,22.164251,22.46198,20.53576,20.326475,0.5472246,1.3623835,1.0356377,6.1051407,7.403037,884.65656,451.5144,149.31265,2.4964902,0.64482576,PSF,QSO,20211104,39627666176868784,J083429-050511,128.6206705,-5.086479312,08 34 28.961,-05 05 11.326,1.436368013,0.000605072,0,21.397625,20.591463,20.17727,18.946087,18.372927,2.760259,5.7998257,8.493602,26.397642,44.75371,717.0952,311.433,132.26425,2.519557,0.6017612,PSF,QSO,20211110,6.647031192,13.0217921,13.02380493,493.2706622,56.14998505,56.14130706,New Discovery,,QP
J0835+0553,J083553.439+055316.768,39627931676315564,J083553+055317,128.972765,5.888087714,08 35 53.464,+05 53 17.116,0.204862601,5.01e-06,0,17.199532,17.063072,16.894129,14.695248,14.347228,131.8825,149.5447,174.7225,1324.0391,1824.3519,76.57107,48.90077,28.067265,0.29137552,0.088383816,PSF,QSO,20211113,39627931676315557,J083553+055316,128.972557,5.887894667,08 35 53.414,+05 53 16.421,0.204822492,7.86e-06,0,18.626284,17.939861,17.290506,18.148521,18.115702,35.439423,66.68924,121.28227,55.028954,56.717773,15.066134,6.039077,1.3481807,0.15030369,0.04074894,DEV,QSO,20220306,1.018817335,32.717101,32.7220905,9.979926182,3.425422909,3.424900596,New Discovery,,UT
J0836+0020,J083603.086+002039.735,39627792932929915,J083603+002040,129.0128402,0.344514368,08 36 03.082,+00 20 40.252,0.931201286,0.00016784,0,20.504766,20.360172,20.011663,18.402716,18.239693,6.281933,7.1767983,9.893159,43.54251,50.59683,886.4083,626.0722,121.83867,2.2993214,0.5828618,PSF,QSO,20211108,39627792932929916,J083603+002039,129.0128741,0.344227507,08 36 03.090,+00 20 39.219,0.930909087,0.000243879,0,23.185919,23.058014,22.154709,24.338972,,0.53165793,0.5981281,1.374411,0.18382776,-0.18835048,562.17847,424.73315,55.990196,2.1309018,0.54829025,EXP,QSO,20220204,1.039897095,13.98536592,13.9865531,45.36329751,8.179169654,8.178475406,New Discovery,,UT
J0836-0102,J083604.455-010236.865,39627762733941111,J083604-010236,129.018219,-1.043317233,08 36 04.373,-01 02 35.942,1.420638372,0.000520615,0,21.250547,20.886591,20.97013,20.83801,19.752302,3.1606858,4.4194016,4.0921154,4.621633,12.562582,962.6344,348.52072,161.86287,2.636941,0.6171022,PSF,QSO,20211112,39627762733941120,J083605-010238,129.018908,-1.043829781,08 36 04.538,-01 02 37.787,1.421496901,0.000486209,0,22.36486,21.701494,21.573338,20.395517,19.482862,1.1325462,2.0864217,2.34782,6.946928,16.10108,1214.9819,425.99725,168.49629,2.6294353,0.6180548,PSF,QSO,20211129,3.091188987,13.03225401,13.03176962,106.3086184,26.09147955,26.09244936,New Discovery,,LQC
J0836+0915,J083610.740+091537.393,39628009572929044,J083611+091538,129.0447587,9.260511889,08 36 10.742,+09 15 37.843,0.682845549,0.000125145,0,20.151196,20.041136,19.6642,17.739243,17.522795,8.700058,9.628213,13.624475,80.22381,97.92236,989.6885,424.23648,82.870186,1.890373,0.49298596,PSF,QSO,20211204,39628009572929042,J083611+091537,129.0447428,9.260262169,08 36 10.738,+09 15 36.944,0.682849084,0.000162427,0,21.768984,21.344154,20.43891,21.567436,,1.9606777,2.8996007,6.6747684,2.3606172,-18.111275,118.505936,38.608826,5.2207127,0.8424387,0.22580628,DEV,QSO,20220104,0.900771082,15.54893555,15.54890251,0.629882079,6.37245031,6.372463848,New Discovery,,UT
J0836+0053,J083643.400+005355.145,39627811052326393,J083643+005356,129.180749,0.898916523,08 36 43.380,+00 53 56.099,1.903783962,0.000195246,0,19.442396,19.273653,18.967543,18.380869,17.752409,16.712494,19.522644,25.881117,44.42754,79.256775,325.03278,256.19238,65.63696,2.3205862,0.51790196,PSF,QSO,20211108,39627811052326399,J083643+005354,129.1809212,0.898386284,08 36 43.421,+00 53 54.191,1.902791052,0.000742522,0,22.751326,22.411228,21.712698,20.789692,20.328196,0.79335916,1.0851979,2.0650032,4.831963,7.3913136,296.8094,195.39232,19.18673,2.1914318,0.49203205,EXP,QSO,20220202,2.007005851,13.07798014,13.07740091,102.5276076,16.88109641,16.88184412,New Discovery,,QP
J0837+0250,J083731.371+025031.523,39627853335104572,J083731+025034,129.3801078,2.842709328,08 37 31.226,+02 50 33.754,1.515147512,0.000511329,4,21.749937,20.617752,20.290125,18.703377,18.228285,1.995377,5.66108,7.6550846,33.01031,51.131172,1364.9167,249.0416,96.76597,2.5959744,0.57235545,PSF,QSO,20211112,39627853335104600,J083732+025029,129.3813172,2.84147008,08 37 31.516,+02 50 29.292,1.514067412,0.000480018,0,20.908047,20.57551,20.461548,19.137178,18.822966,4.3329263,5.8856754,6.537031,22.137514,29.56743,386.2054,233.31046,62.856537,2.5752966,0.58269507,PSF,QSO,20220124,6.229961754,12.99418705,12.99445897,128.7699325,52.73864311,52.73753951,New Discovery,,QP
J0837+0517,J083740.859+051750.093,39627913636611527,J083741+051750,129.4203347,5.297349201,08 37 40.880,+05 17 50.457,1.583144138,0.000151691,0,21.019222,20.481602,20.39214,19.98292,19.394207,3.9112115,6.417399,6.9685783,10.158561,17.47098,1069.32,421.50848,84.76168,3.111284,0.6664791,PSF,QSO,20211113,39627913636611523,J083741+051750,129.4201552,5.297146829,08 37 40.837,+05 17 49.729,1.583651986,0.00035493,0,23.368938,26.882038,23.759533,22.553507,,0.4491844,0.017667884,0.31346357,0.95191306,-1.780449,1305.0696,583.4158,89.082146,3.1465676,0.67107314,PSF,QSO,20220203,0.971835077,12.98386847,12.98383952,58.93362449,8.233436652,8.233455014,New Discovery,,UT
J0838+1926,J083805.663+192635.262,39628249487115757,J083806+192633,129.5239218,19.44259551,08 38 05.741,+19 26 33.344,1.754905147,0.000672553,0,20.951336,20.906,20.673204,19.434135,19.23074,4.1635714,4.3411045,5.379208,16.84014,20.309744,1078.7684,366.27567,81.31242,2.666014,0.5309073,PSF,QSO,20211103,39628249487115747,J083806+192637,129.523272,19.44366122,08 38 05.585,+19 26 37.180,1.751119031,0.001167094,0,23.120804,22.620377,21.636707,20.55494,19.999128,0.56451887,0.89505386,2.2147098,5.998246,10.008028,1564.4932,444.74615,81.27886,2.7699683,0.54917073,PSF,QSO,20220106,4.4256118,13.00908294,13.00784429,412.2934932,37.42133866,37.42490204,New Discovery,,QP
J0838+0346,J083844.724+034622.694,39627877481709727,J083844+034624,129.685399,3.773402045,08 38 44.496,+03 46 24.247,1.8682316,0.000491877,0,22.448595,22.565624,21.828379,20.263643,19.68457,1.0484847,0.94134843,1.8563014,7.8440876,13.371249,1891.4773,516.1665,120.92367,3.0551589,0.65823704,PSF,QSO,20211112,39627877481709770,J083845+034621,129.6873035,3.772539114,08 38 44.953,+03 46 21.141,1.87055994,0.000730851,2,22.270714,22.099314,21.654528,20.47087,20.492144,1.2351345,1.4463525,2.1786559,6.481154,6.355399,1849.3674,491.2199,120.34938,3.087866,0.6812191,PSF,QSO,20211130,7.513568335,13.05817933,13.05941591,243.2633119,63.29308986,63.28709672,New Discovery,,QP
J0838-0206,J083856.213-020616.027,39627738583145339,J083856-020614,129.7339012,-2.103966039,08 38 56.136,-02 06 14.278,3.129660128,0.000412831,0,21.825356,21.480627,21.405401,21.004877,20.30482,1.8614779,2.5571089,2.7405612,3.9632258,7.552174,1424.2566,614.7621,251.46394,3.1327298,0.7024961,PSF,QSO,20211106,39627738583145358,J083856-020618,129.7345366,-2.104938028,08 38 56.289,-02 06 17.777,3.121824515,0.00043992,0,22.888304,22.646706,22.99843,22.211014,21.963457,0.6993237,0.873611,0.6318704,1.3049526,1.6391445,1716.109,749.8738,264.61377,3.1556168,0.7225783,PSF,QSO,20220126,4.179565199,14.46561416,14.45421744,569.3660953,31.78241638,31.80747586,New Discovery,,QP
J0839+6906,J083942.160+690607.679,39633480857946510,J083942+690604,129.9264671,69.10098459,08 39 42.352,+69 06 03.545,1.91256656,0.000976384,0,22.13691,21.960028,21.565533,19.537178,19.080051,1.3971269,1.6443299,2.3647585,15.31541,23.333494,438.39853,184.08548,142.5056,3.9954934,0.9863669,PSF,QSO,20211029,39633480857946505,J083942+690612,129.9248652,69.10328156,08 39 41.968,+69 06 11.814,1.919413933,0.000505168,0,20.888596,20.882538,20.768293,19.856537,19.493567,4.4112525,4.435931,4.9281354,11.412626,15.943136,338.97754,156.31923,137.80559,4.169818,1.0347714,PSF,QSO,20211126,8.521118564,13.08316766,13.08729125,703.9773274,71.64343278,71.6208591,New Discovery,,QP
J0839+0211,J083953.210+021135.288,39627841263899315,J083953+021136,129.9712805,2.193384472,08 39 53.107,+02 11 36.184,2.157553015,0.000828942,0,23.159668,22.90936,22.33282,20.478045,20.07471,0.54466957,0.6858913,1.166464,6.438461,9.335024,1541.2086,588.17993,119.60426,3.0434718,0.7020082,PSF,QSO,20211108,39627841263899331,J083953+021134,129.9721379,2.192886903,08 39 53.313,+02 11 34.393,2.157285501,0.000316486,0,20.499092,20.266533,19.816458,19.408108,19.096048,6.3148546,7.8232474,11.841779,17.248728,22.992199,489.91626,345.94913,97.28389,2.937378,0.6815274,PSF,QSO,20211112,3.566888176,13.26859456,13.26835443,25.40003459,29.57040385,29.57093902,New Discovery,,QP
J0840+0122,J084013.900+012205.960,39627817108899297,J084014+012206,130.0579987,1.368432272,08 40 13.920,+01 22 06.356,1.543836537,0.000496346,0,20.956686,20.626106,20.771954,19.800545,18.735218,4.143104,5.617689,4.911553,12.016612,32.05624,1456.1787,535.2811,161.05663,2.8447819,0.63564104,PSF,QSO,20211108,39627817108899289,J084014+012206,130.057833,1.368212092,08 40 13.880,+01 22 05.564,1.542477921,0.001099052,0,23.385212,24.953243,23.432829,20.608702,21.647285,0.4425019,0.10440061,0.4235144,5.7084684,2.193238,1237.8328,435.25348,83.72233,2.779022,0.62312526,EXP,QSO,20220124,0.991957805,12.98823295,12.9884608,160.1563185,8.40109344,8.400946064,New Discovery,,UT
J0840+0534,J084054.654+053416.713,39627919668023481,J084055+053413,130.2281597,5.570174673,08 40 54.758,+05 34 12.629,2.075540701,0.00108658,0,22.497654,22.267668,21.596205,20.661661,20.535145,1.0021627,1.2386047,2.2988899,5.4367013,6.108606,1274.7163,617.52185,134.4108,2.7121785,0.63893396,PSF,QSO,20211113,39627919668023453,J084055+053421,130.2272881,5.57244366,08 40 54.549,+05 34 20.797,2.06859159,0.001067481,0,22.29626,22.21007,21.880445,20.79145,20.726765,1.2064123,1.3060862,1.7693821,4.8241363,5.1202807,1230.6206,613.75507,135.22745,2.7953377,0.65558404,PSF,QSO,20211201,8.745019433,13.19851706,13.19292035,678.1400425,72.88334998,72.91426861,New Discovery,,QP
J0841+0319,J084125.660+031918.039,39627865427285016,J084125+031915,130.3558938,3.320700338,08 41 25.415,+03 19 14.521,1.837125904,0.002197627,4,23.156801,22.975426,22.408157,19.825018,19.424925,0.5461091,0.64540094,1.0882713,11.74879,16.983624,1084.3763,597.2247,100.89922,3.0173738,0.698354,PSF,GALAXY,20220102,39627865427285073,J084126+031922,130.3579384,3.322654721,08 41 25.905,+03 19 21.557,1.831829061,0.001270924,0,22.550549,22.5689,22.571508,20.669275,20.403189,0.9545107,0.93851316,0.93626106,5.3987074,6.898027,992.21515,575.9358,101.09667,3.190959,0.72275054,PSF,QSO,20220203,10.17352039,13.04249856,13.03998739,560.2279451,85.80313336,85.81965685,New Discovery,,QP
J0841+1044,J084126.810+104432.212,39628045320982443,J084127+104430,130.3632585,10.74165768,08 41 27.182,+10 44 29.968,1.628423806,0.000880446,0,22.695852,22.546484,22.305872,20.326551,20.057568,0.83494717,0.9580907,1.1957803,7.402518,9.483592,680.5904,390.9113,67.8235,2.9242167,0.6057488,PSF,QSO,20211204,39628045320982379,J084126+104434,130.3601568,10.74290432,08 41 26.438,+10 44 34.456,1.623244429,0.000665735,0,21.565105,21.171822,20.754162,19.08957,18.290628,2.3656902,3.3983743,4.9927015,23.129831,48.277935,557.4483,319.472,63.99633,2.5182948,0.5202483,PSF,QSO,20220301,11.85304644,12.98389122,12.98362843,591.3313694,100.4194418,100.4214743,New Discovery,,QP
